[generate_armor] material=Leather, rarity=common, item_type=helmet
[generate_armor] material=Netherite, rarity=uncommon, item_type=leggings
  base_armor=10, armor_mult=1, armor_val=10
  base_hp=23, hp_mult=1, hp_val=23
[generate_armor] material=Netherite, rarity=uncommon, item_type=boots
  base_armor=10, armor_mult=1, armor_val=10
  base_hp=23, hp_mult=1, hp_val=23
[generate_armor] material=Netherite, rarity=rare, item_type=helmet
  base_armor=10, armor_mult=2, armor_val=20
  base_hp=23, hp_mult=2, hp_val=46
[generate_armor] material=Netherite, rarity=rare, item_type=chestplate
  base_armor=10, armor_mult=2, armor_val=20
  base_hp=23, hp_mult=2, hp_val=46
[generate_armor] material=Netherite, rarity=rare, item_type=leggings
  base_armor=10, armor_mult=2, armor_val=20
  base_hp=23, hp_mult=2, hp_val=46
[generate_armor] material=Netherite, rarity=rare, item_type=boots
  base_armor=10, armor_mult=2, armor_val=20
  base_hp=23, hp_mult=2, hp_val=46
[generate_armor] material=Netherite, rarity=epic, item_type=helmet
  base_armor=10, armor_mult=2, armor_val=20
  base_hp=23, hp_mult=2, hp_val=46
[generate_armor] material=Netherite, rarity=epic, item_type=chestplate
  base_armor=10, armor_mult=2, armor_val=20
  base_hp=23, hp_mult=2, hp_val=46
[generate_armor] material=Netherite, rarity=epic, item_type=leggings
  base_armor=10, armor_mult=2, armor_val=20
  base_hp=23, hp_mult=2, hp_val=46
[generate_armor] material=Netherite, rarity=epic, item_type=boots
  base_armor=10, armor_mult=2, armor_val=20
  base_hp=23, hp_mult=2, hp_val=46
[generate_armor] material=Netherite, rarity=legendary, item_type=helmet
  base_armor=10, armor_mult=3, armor_val=30
  base_hp=23, hp_mult=3, hp_val=69
[generate_armor] material=Netherite, rarity=legendary, item_type=chestplate
  base_armor=10, armor_mult=3, armor_val=30
  base_hp=23, hp_mult=3, hp_val=69
[generate_armor] material=Netherite, rarity=legendary, item_type=leggings
  base_armor=10, armor_mult=3, armor_val=30
  base_hp=23, hp_mult=3, hp_val=69
[generate_armor] material=Netherite, rarity=legendary, item_type=boots
  base_armor=10, armor_mult=3, armor_val=30
  base_hp=23, hp_mult=3, hp_val=69
[generate_armor] material=Mythril, rarity=common, item_type=helmet
  base_armor=11, armor_mult=1, armor_val=11
  base_hp=27, hp_mult=1, hp_val=27
[generate_armor] material=Mythril, rarity=common, item_type=chestplate
  base_armor=11, armor_mult=1, armor_val=11
  base_hp=27, hp_mult=1, hp_val=27
[generate_armor] material=Mythril, rarity=common, item_type=leggings
  base_armor=11, armor_mult=1, armor_val=11
  base_hp=27, hp_mult=1, hp_val=27
[generate_armor] material=Mythril, rarity=common, item_type=boots
  base_armor=11, armor_mult=1, armor_val=11
  base_hp=27, hp_mult=1, hp_val=27
[generate_armor] material=Mythril, rarity=uncommon, item_type=helmet
  base_armor=11, armor_mult=1, armor_val=11
  base_hp=27, hp_mult=1, hp_val=27
[generate_armor] material=Mythril, rarity=uncommon, item_type=chestplate
  base_armor=11, armor_mult=1, armor_val=11
  base_hp=27, hp_mult=1, hp_val=27
[generate_armor] material=Mythril, rarity=uncommon, item_type=leggings
  base_armor=11, armor_mult=1, armor_val=11
  base_hp=27, hp_mult=1, hp_val=27
[generate_armor] material=Mythril, rarity=uncommon, item_type=boots
  base_armor=11, armor_mult=1, armor_val=11
  base_hp=27, hp_mult=1, hp_val=27
[generate_armor] material=Mythril, rarity=rare, item_type=helmet
  base_armor=11, armor_mult=2, armor_val=22
  base_hp=27, hp_mult=2, hp_val=54
[generate_armor] material=Mythril, rarity=rare, item_type=chestplate
  base_armor=11, armor_mult=2, armor_val=22
  base_hp=27, hp_mult=2, hp_val=54
[generate_armor] material=Mythril, rarity=rare, item_type=leggings
  base_armor=11, armor_mult=2, armor_val=22
  base_hp=27, hp_mult=2, hp_val=54
[generate_armor] material=Mythril, rarity=rare, item_type=boots
  base_armor=11, armor_mult=2, armor_val=22
  base_hp=27, hp_mult=2, hp_val=54
[generate_armor] material=Mythril, rarity=epic, item_type=helmet
  base_armor=11, armor_mult=2, armor_val=22
  base_hp=27, hp_mult=2, hp_val=54
[generate_armor] material=Mythril, rarity=epic, item_type=chestplate
  base_armor=11, armor_mult=2, armor_val=22
  base_hp=27, hp_mult=2, hp_val=54
[generate_armor] material=Mythril, rarity=epic, item_type=leggings
  base_armor=11, armor_mult=2, armor_val=22
  base_hp=27, hp_mult=2, hp_val=54
[generate_armor] material=Mythril, rarity=epic, item_type=boots
  base_armor=11, armor_mult=2, armor_val=22
  base_hp=27, hp_mult=2, hp_val=54
[generate_armor] material=Mythril, rarity=legendary, item_type=helmet
  base_armor=11, armor_mult=3, armor_val=33
  base_hp=27, hp_mult=3, hp_val=81
[generate_armor] material=Mythril, rarity=legendary, item_type=chestplate
  base_armor=11, armor_mult=3, armor_val=33
  base_hp=27, hp_mult=3, hp_val=81
[generate_armor] material=Mythril, rarity=legendary, item_type=leggings
  base_armor=11, armor_mult=3, armor_val=33
  base_hp=27, hp_mult=3, hp_val=81
[generate_armor] material=Mythril, rarity=legendary, item_type=boots
  base_armor=11, armor_mult=3, armor_val=33
  base_hp=27, hp_mult=3, hp_val=81
[generate_armor] material=Celestium, rarity=common, item_type=helmet
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Celestium, rarity=common, item_type=chestplate
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Celestium, rarity=common, item_type=leggings
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Celestium, rarity=common, item_type=boots
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Celestium, rarity=uncommon, item_type=helmet
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Celestium, rarity=uncommon, item_type=chestplate
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Celestium, rarity=uncommon, item_type=leggings
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Celestium, rarity=uncommon, item_type=boots
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Celestium, rarity=rare, item_type=helmet
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Celestium, rarity=rare, item_type=chestplate
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Celestium, rarity=rare, item_type=leggings
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Celestium, rarity=rare, item_type=boots
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Celestium, rarity=epic, item_type=helmet
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Celestium, rarity=epic, item_type=chestplate
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Celestium, rarity=epic, item_type=leggings
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Celestium, rarity=epic, item_type=boots
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Celestium, rarity=legendary, item_type=helmet
  base_armor=12, armor_mult=3, armor_val=36
  base_hp=32, hp_mult=3, hp_val=96
[generate_armor] material=Celestium, rarity=legendary, item_type=chestplate
  base_armor=12, armor_mult=3, armor_val=36
  base_hp=32, hp_mult=3, hp_val=96
[generate_armor] material=Celestium, rarity=legendary, item_type=leggings
  base_armor=12, armor_mult=3, armor_val=36
  base_hp=32, hp_mult=3, hp_val=96
[generate_armor] material=Celestium, rarity=legendary, item_type=boots
  base_armor=12, armor_mult=3, armor_val=36
  base_hp=32, hp_mult=3, hp_val=96
[generate_armor] material=Eternium, rarity=common, item_type=helmet
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Eternium, rarity=common, item_type=chestplate
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Eternium, rarity=common, item_type=leggings
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Eternium, rarity=common, item_type=boots
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Eternium, rarity=uncommon, item_type=helmet
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Eternium, rarity=uncommon, item_type=chestplate
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Eternium, rarity=uncommon, item_type=leggings
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Eternium, rarity=uncommon, item_type=boots
  base_armor=12, armor_mult=1, armor_val=12
  base_hp=32, hp_mult=1, hp_val=32
[generate_armor] material=Eternium, rarity=rare, item_type=helmet
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Eternium, rarity=rare, item_type=chestplate
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Eternium, rarity=rare, item_type=leggings
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Eternium, rarity=rare, item_type=boots
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Eternium, rarity=epic, item_type=helmet
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Eternium, rarity=epic, item_type=chestplate
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Eternium, rarity=epic, item_type=leggings
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Eternium, rarity=epic, item_type=boots
  base_armor=12, armor_mult=2, armor_val=24
  base_hp=32, hp_mult=2, hp_val=64
[generate_armor] material=Eternium, rarity=legendary, item_type=helmet
  base_armor=12, armor_mult=3, armor_val=36
  base_hp=32, hp_mult=3, hp_val=96
[generate_armor] material=Eternium, rarity=legendary, item_type=chestplate
  base_armor=12, armor_mult=3, armor_val=36
  base_hp=32, hp_mult=3, hp_val=96
[generate_armor] material=Eternium, rarity=legendary, item_type=leggings
  base_armor=12, armor_mult=3, armor_val=36
  base_hp=32, hp_mult=3, hp_val=96
[generate_armor] material=Eternium, rarity=legendary, item_type=boots
  base_armor=12, armor_mult=3, armor_val=36
  base_hp=32, hp_mult=3, hp_val=96
